-1,-1,-1,313,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,0,0,0,0,-1,0,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
-1,0,313,313,0,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,0,0,-1,-1,-1
-1,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,0,0,0,0,-1
-1,0,0,0,313,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,0,0,0,0,0,-1,-1,-1
-1,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,0,0,0,0,-1
-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,-1,0,-1
-1,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,-1,0,0,-1,0,0,-1,0,-1
-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,-1,0,-1,0,0,0,-1,-1,0,-1,-1,0,0,-1,0,-1
0,0,0,-1,0,0,0,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,0,-1,-1,-1
0,0,0,-1,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,-1,-1,0,-1,-1,0,-1,0,0,0,-1
-1,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,-1,0,-1,0,0,0,-1
-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,0,-1,0,-1,-1,-1
-1,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,0,-1
-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1
-1,0,-1,0,-1,0,-1,0,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,0,-1
-1,-1,-1,0,-1,0,0,0,-1,0,-1,-1,-1,-1,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,0,0,-1
-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1
-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,0,0,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
